App_Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,Permissions,Report,Offered By,Developer,Logo,In-app Products,Eligible for Family Library
Sketchbook,Sketchbook,Art & Design,"July 2, 2021",98M,"50,000,000+",5.2.5,5.0 and up,EveryoneLearn more,Digital Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Sketchbook,https://play-lh.googleusercontent.com/NIhaPLVMl69snWk7IOWADeBwU-8FG5VL1q41_fmd6TVa4FEIqXQw3Ar3BovrXvza2Q=s180,,
ibis Paint X,ibis inc.,Art & Design,"April 21, 2022",25M,"100,000,000+",9.4.1,4.4 and up,EveryoneLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,ibis inc.,https://play-lh.googleusercontent.com/QcfhlXm32JDnj3WM2-TSL78ad99x4slovX4OzCSLSPU3uRN-mGXpKyM_yeXiewhz0Lk=s180,$2.99 - $27.99 per item,
Tayasui Sketches,Tayasui,Art & Design,"April 21, 2022",49M,"1,000,000+",1.3.9,4.4W and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Tayasui,https://play-lh.googleusercontent.com/ivBDSUQY4PwWXbX_mqQyhbRUDX0byHvn0R3hM558zl8y8MNmk6OUcYUeKdo-MLKnEg=s180,$6.49 per item,
FlipaClip: Create 2D Animation,Visual Blasters LLC,Art & Design,"May 16, 2022",128M,"10,000,000+",3.0.5,5.0 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Visual Blasters LLC,https://play-lh.googleusercontent.com/bKq4X_rvgBB7W8VZvVh3dc7g6W9QkGUlERDOc12PEo27hMvg1TzbjHBoeleINtXmxtI_=s180,$0.99 - $9.99 per item,
"Drawing Desk: Draw, Paint Art",4Axis Technologies,Art & Design,"April 8, 2022",62M,"10,000,000+",5.8.7,6.0 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,4Axis Technologies,https://play-lh.googleusercontent.com/cZXYPm7UflaU2775GtOHbtdX8SDxIUPyvPvuzCZFdsoZwbMGKeNyBjVDKNIUMKtr0pIq=s180,$0.99 - $29.99 per item,
Floor Plan Creator,Marcin Lewandowski,Art & Design,"April 2, 2022",6.0M,"10,000,000+",3.5.7,4.1 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Marcin Lewandowski,https://play-lh.googleusercontent.com/5ly7Kw1781-CTtIcXNHMwcL8qTsnsmne-J40AoymcUuPCUpf5_GKhaa4QGixUwa0xOA=s180,$0.99 - $7.49 per item,
Magic Poser,"Wombat Studio, Inc.",Art & Design,"March 11, 2021",87M,"5,000,000+",1.56.1,5.0 and up,TeenDiverse Content: Discretion AdvisedLearn more,"Users Interact, In-App Purchases",View details,ReportFlag as inappropriate,Flag as inappropriate,"Wombat Studio, Inc.",https://play-lh.googleusercontent.com/IZ2btAH5FZHg2OUB6jSstAcStShC4RpE7g1LixglBotiDaSJf16RaFudKlmZuyRL590=s180,$0.99 - $49.99 per item,
Infinite Painter,Infinite Studio LLC,Art & Design,"April 26, 2022",137M,"10,000,000+",7.0.8,7.0 and up,EveryoneLearn more,"Users Interact, Digital Purchases",View details,ReportFlag as inappropriate,Flag as inappropriate,Infinite Studio LLC,https://play-lh.googleusercontent.com/YNxwUNwBOkzhtbJ0-UiMfSaLAFT9fDVYL7L2JQDCosBnb50Z9g2AFuOffBLwnYs_Gdw=s180,$1.99 - $9.99 per item,
MediBang Paint - Make Art !,MediBang Inc.,Art & Design,"April 15, 2022",33M,"10,000,000+",24,5.0 and up,TeenLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,MediBang Inc.,https://play-lh.googleusercontent.com/gJiINYcgwxuyz7D74B_yIGoblTCDdhLPmh1JMUiw-cUGZ4D7aj0bUWywBsMNltCQzX4=s180,$2.49 - $8.99 per item,
"Canva: Design, Photo & Video",Canva,Art & Design,"May 18, 2022",27M,"100,000,000+",2.164.1,5.0 and up,EveryoneLearn more,Digital Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Canva,https://play-lh.googleusercontent.com/3aWGqSf3T_p3F6wc8FFvcZcnjWlxpZdNaqFVEvPwQ1gTOPkVoZwq6cYvfK9eCkwCXbRY=s180,$1.49 - $119.99 per item,
"Concepts: Sketch, Note, Draw","TopHatch, Inc.",Art & Design,"May 17, 2022",256M,"1,000,000+",2022.04.8,7.0 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,"TopHatch, Inc.",https://play-lh.googleusercontent.com/9gI1IJAqeUWtrzE-64qgypUtxNI4hIDj-OjlQM5Zl3T_6BZeNb_huRfa57DdVxQHLWg=s180,$1.99 - $29.99 per item,
Dream by WOMBO,Wombo Studios Inc,Art & Design,"May 16, 2022",33M,"10,000,000+",1.75.2,7.1 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Wombo Studios Inc,https://play-lh.googleusercontent.com/3XJPfM_1kaEHkcRuYiWblbBesaAoLXxpSIysYkI1eUqL5CK3PXSLm98WIAcGz32vCkA=s180,,
PENUP - Share your drawings,"Samsung Electronics Co.,  Ltd.",Art & Design,"April 25, 2022",Varies with device,"100,000,000+",Varies with device,Varies with device,TeenLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,"Samsung Electronics Co.,  Ltd.",https://play-lh.googleusercontent.com/CK7k3c6Ra3-dcDpvkhs_JDoUc1jD3q2rKL-NY68yPkGN50n4lCbeeQS1e53SlxK61mfD=s180,,
Clip Studio Paint,"CELSYS,Inc.",Art & Design,"March 24, 2022",563M,"1,000,000+",1.11.14,9 and up,EveryoneLearn more,In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,"CELSYS,Inc.",https://play-lh.googleusercontent.com/PX3XwvtpoC-ALZi4jWgAMsTli-NghN8Ig5NW1uKH6wN3rSu_-Rt93IC-D_olVMGhsh8=s180,$0.99 - $117.99 per item,
OpenSea: NFT marketplace,OpenSea,Art & Design,"May 3, 2022",36M,"1,000,000+",1.4.3,5.0 and up,TeenDiverse Content: Discretion AdvisedLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,OpenSea,https://play-lh.googleusercontent.com/32y5iFC7fULhuCqR8YfQSwtensqoVxBVbPDgTZOypQu3i-g5C7Tk-SBdgVcFh5Ako88=s180,,
GoDaddy Studio: Graphic Design,"GoDaddy Mobile, LLC",Art & Design,"May 18, 2022",36M,"5,000,000+",7.15.2,6.0 and up,EveryoneLearn more,Digital Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,"GoDaddy Mobile, LLC",https://play-lh.googleusercontent.com/x1pkPbFAvqsU_jy8FiyFadGTWWvOkBgjhOxSsJpLfnWnRGDztPEzplVOz_tqnajppng=s180,$4.99 - $69.99 per item,
PaperColor,Colorfit,Art & Design,"June 8, 2020",17M,"10,000,000+",2.4.1,4.0.3 and up,EveryoneLearn more,,View details,ReportFlag as inappropriate,Flag as inappropriate,Colorfit,https://play-lh.googleusercontent.com/zk1SVbWvnYrH1al59YwDidCP97a2oeyKKi-csCxHhI-S7Wl-dohsGBnQh8J1OGsLvYw=s180,$0.99 - $4.99 per item,
Learn to Draw Anime by Steps,Rstream Labs,Art & Design,"April 19, 2022",17M,"1,000,000+",3.0.230,6.0 and up,"Mature 17+Violence, Blood and Gore, Sexual Content, Nudity, LanguageLearn more",In-App Purchases,View details,ReportFlag as inappropriate,Flag as inappropriate,Rstream Labs,https://play-lh.googleusercontent.com/MqjCUP5BGbetQPFZXO2YIplEN6rpA6K00HjqpWsV9y_3EYw_PjD0HkQ6YiwgG1tJCFY=s180,$0.99 - $59.99 per item,
Sketchers United,Colorful,Art & Design,"April 26, 2021",6.7M,"100,000+",0.10.3,5.0 and up,TeenLearn more,Users Interact,View details,ReportFlag as inappropriate,Flag as inappropriate,Colorful,https://play-lh.googleusercontent.com/sW0rB9wtsR6J9y7Jfg36jFNY-Ojuuo0ye71591X_CXQUgoI7duzCgu48H4tfQOUbmV4=s180,,
